seed,tasks,workers,noise_bound,policy,mean_wait,mean_completion,makespan,slot_utilization,prediction_mae
0,30,2,0.0,fcfs,56.06564757693263,63.83702496476693,122.92789051290464,0.9482848874338838,0.0
0,30,2,0.0,sjf,28.261310072440878,36.03268746027518,119.22812012391499,0.9777111364027338,0.0
0,30,2,0.25,fcfs,56.06564757693263,63.83702496476693,122.92789051290464,0.9482848874338838,0.8260692891613977
0,30,2,0.25,sjf,28.882097280169543,36.653474668003845,125.7663309196555,0.9268828943732526,0.8260692891613977
0,30,2,0.5,fcfs,56.06564757693263,63.83702496476693,122.92789051290464,0.9482848874338838,1.6521385783227955
0,30,2,0.5,sjf,29.523214291749017,37.29459167958332,117.61652097595214,0.9911078805106691,1.6521385783227955
0,30,2,1.0,fcfs,56.06564757693263,63.83702496476693,122.92789051290464,0.9482848874338838,3.3042771566455906
0,30,2,1.0,sjf,30.59728609464022,38.36866348247453,118.43671862543906,0.9842442628470148,3.3042771566455906
1,30,2,0.0,fcfs,39.96386549138065,46.80793901204442,108.84556559688232,0.9431813069001777,0.0
1,30,2,0.0,sjf,24.346050754230326,31.190124274894092,105.25464990728634,0.9753593109699726,0.0
1,30,2,0.25,fcfs,39.96386549138065,46.80793901204442,108.84556559688232,0.9431813069001777,0.5699641148796096
1,30,2,0.25,sjf,24.56477167683826,31.40884519750203,107.05284228048059,0.958975965728984,0.5699641148796096
1,30,2,0.5,fcfs,39.96386549138065,46.80793901204442,108.84556559688232,0.9431813069001777,1.1399282297592188
1,30,2,0.5,sjf,24.851905426488234,31.695978947152,110.03558333117192,0.9329809476356334,1.1399282297592188
1,30,2,1.0,fcfs,39.96386549138065,46.80793901204442,108.84556559688232,0.9431813069001777,2.279856459518437
1,30,2,1.0,sjf,27.511074337077698,34.355147857741464,104.92142794134277,0.9784569732252412,2.279856459518437
2,30,2,0.0,fcfs,48.67392437332879,55.831567728176104,110.84208711889904,0.9686271082891184,0.0
2,30,2,0.0,sjf,23.661054752415897,30.818698107263213,112.17286888202389,0.957135637099813,0.0
2,30,2,0.25,fcfs,48.67392437332879,55.831567728176104,110.84208711889904,0.9686271082891184,0.8580729012280746
2,30,2,0.25,sjf,24.060505055618528,31.21814841046584,111.80574516863543,0.9602784737114605,0.8580729012280746
2,30,2,0.5,fcfs,48.67392437332879,55.831567728176104,110.84208711889904,0.9686271082891184,1.7161458024561493
2,30,2,0.5,sjf,24.727721324222355,31.88536467906967,107.49816624325676,0.998757970249977,1.7161458024561493
2,30,2,1.0,fcfs,48.67392437332879,55.831567728176104,110.84208711889904,0.9686271082891184,3.4322916049122987
2,30,2,1.0,sjf,25.979822323935466,33.137465678782775,110.62999925563406,0.9704840553656784,3.4322916049122987
3,30,2,0.0,fcfs,42.553458351703696,49.8038273630335,115.3118314823479,0.9431429001853602,0.0
3,30,2,0.0,sjf,24.72008222345556,31.97045123478537,113.00323689142957,0.9624107960238031,0.0
